05/Apr/2012 17:59:07,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:59:10,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:59:10,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:01:10,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,0,1
05/Apr/2012 18:01:10,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,1,0
05/Apr/2012 18:03:11,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,0,1
05/Apr/2012 18:03:11,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,1,0
05/Apr/2012 18:05:13,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,0,1
05/Apr/2012 18:05:13,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,1,0
05/Apr/2012 18:06:41,Info,(empty),ASA-6-302010,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:07:00,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.112.36.4,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:05,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:09,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:09,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:52,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.58.128.30,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:54,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:54,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.8.10.90,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:56,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.63.2.53,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:56,Info,Built,ASA-6-302015,UDP,172.23.0.10,193.0.14.129,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:56,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.36.148.17,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:56,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:07:57,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.203.230.10,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:09:57,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.112.36.4,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:09:58,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.36.148.17,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:09:58,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:09:58,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.203.230.10,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:09:59,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.5.5.241,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:09:59,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.58.128.30,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:10:00,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,193.0.14.129,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:11:15,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.63.2.53,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:11:16,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.8.10.90,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:11:19,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:12:01,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.5.5.241,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:12:04,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:12:08,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:12:08,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:12:15,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.63.2.53,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:12:19,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:12:23,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:12:23,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:12:35,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:12:39,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 18:14:17,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.63.2.53,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:14:36,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:14:41,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:14:43,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:14:47,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:14:47,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 18:16:42,Info,(empty),ASA-6-302010,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:54,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:54,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:54,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:56,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:21:59,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:02,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Notice,Command executed,ASA-5-111008,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725001,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725003,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725002,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-605005,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:04,Info,(empty),ASA-6-725007,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.36.87,10.32.1.206,(empty),(empty),1200,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.36.149,10.32.0.201,(empty),(empty),1201,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.47.142,10.32.1.206,(empty),(empty),1185,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.20.223,10.32.0.201,(empty),(empty),1209,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.17.191,10.32.1.201,(empty),(empty),1235,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Teardown,ASA-6-302014,TCP,172.23.36.149,10.32.0.201,(empty),(empty),1201,80,http,outbound,0,1
05/Apr/2012 18:22:29,Info,Teardown,ASA-6-302014,TCP,172.23.47.142,10.32.1.206,(empty),(empty),1185,80,http,outbound,0,1
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.47.39,10.32.0.201,(empty),(empty),1186,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.20.34,10.32.0.204,(empty),(empty),1210,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Teardown,ASA-6-302014,TCP,172.23.36.87,10.32.1.206,(empty),(empty),1200,80,http,outbound,0,1
05/Apr/2012 18:22:29,Info,Teardown,ASA-6-302014,TCP,172.23.17.191,10.32.1.201,(empty),(empty),1235,80,http,outbound,0,1
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.47.34,10.32.0.209,(empty),(empty),1187,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.47.164,10.32.0.206,(empty),(empty),1188,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.36.141,10.32.1.206,(empty),(empty),1202,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.36.62,10.32.0.202,(empty),(empty),1203,80,http,outbound,1,0
05/Apr/2012 18:22:29,Info,Built,ASA-6-302013,TCP,172.23.17.214,10.32.0.204,(empty),(empty),1236,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.42.176,10.32.1.203,(empty),(empty),1224,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.17.193,10.32.1.202,(empty),(empty),1237,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.20.38,10.32.0.206,(empty),(empty),1211,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.20.35,10.32.0.206,(empty),(empty),1212,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.20.37,10.32.0.202,(empty),(empty),1213,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.47.144,10.32.0.209,(empty),(empty),1189,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.46.99,10.32.1.203,(empty),(empty),1156,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.46.169,10.32.0.205,(empty),(empty),1157,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.47.37,10.32.1.201,(empty),(empty),1190,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.17.190,10.32.0.209,(empty),(empty),1238,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.17.69,10.32.1.201,(empty),(empty),1239,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.7.82,10.32.1.203,(empty),(empty),1212,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.17.103,10.32.0.209,(empty),(empty),1240,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.17.108,10.32.1.203,(empty),(empty),1241,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.109.151,10.32.0.202,(empty),(empty),1344,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.36.164,10.32.0.209,(empty),(empty),1204,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.36.160,10.32.1.203,(empty),(empty),1205,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.47.167,10.32.1.204,(empty),(empty),1191,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Teardown,ASA-6-302014,TCP,172.23.109.151,10.32.0.202,(empty),(empty),1344,80,http,outbound,0,1
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.12.42,10.32.0.205,(empty),(empty),1185,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.109.231,10.32.1.205,(empty),(empty),1345,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.46.161,10.32.0.206,(empty),(empty),1158,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.46.243,10.32.1.206,(empty),(empty),1159,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.46.248,10.32.1.203,(empty),(empty),1160,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.36.105,10.32.1.206,(empty),(empty),1206,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.7.154,10.32.1.204,(empty),(empty),1213,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.24.88,10.32.0.205,(empty),(empty),1224,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Teardown,ASA-6-302014,TCP,172.23.109.231,10.32.1.205,(empty),(empty),1345,80,http,outbound,0,1
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.24.30,10.32.0.209,(empty),(empty),1225,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.109.150,10.32.0.206,(empty),(empty),1346,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.24.156,10.32.0.209,(empty),(empty),1226,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.5.15,10.32.1.206,(empty),(empty),1205,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.5.142,10.32.0.206,(empty),(empty),1206,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.24.81,10.32.1.201,(empty),(empty),1227,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.109.235,10.32.0.206,(empty),(empty),1347,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.47.36,10.32.1.204,(empty),(empty),1192,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.39.14,10.32.0.205,(empty),(empty),1234,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Teardown,ASA-6-302014,TCP,172.23.5.15,10.32.1.206,(empty),(empty),1205,80,http,outbound,0,1
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.24.85,10.32.0.209,(empty),(empty),1228,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.42.65,10.32.0.201,(empty),(empty),1225,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.42.69,10.32.1.206,(empty),(empty),1226,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.8.178,10.32.0.205,(empty),(empty),1224,80,http,outbound,1,0
05/Apr/2012 18:22:30,Info,Teardown,ASA-6-302014,TCP,172.23.5.142,10.32.0.206,(empty),(empty),1206,80,http,outbound,0,1
05/Apr/2012 18:22:30,Info,Built,ASA-6-302013,TCP,172.23.8.109,10.32.1.201,(empty),(empty),1225,80,http,outbound,1,0
